epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,483.469,1.51673,2.33843,1.67622,0.5853,0.43288,0.43954,0.26668,1.44865,1.68492,1.59168,0.00998344,0.00332781,0.00998344,0.00332781,0.00998344,0.00332781,0.00998344,0.00332781
2,919.307,1.50398,1.93025,1.63893,0.54882,0.36249,0.38427,0.23326,1.48169,2.33297,1.67398,0.0199786,0.00665952,0.0199786,0.00665952,0.0199786,0.00665952,0.0199786,0.00665952
3,1338.08,1.62342,2.18711,1.75963,0.4075,0.27731,0.24471,0.13074,1.75567,2.49582,2.02927,0.0299542,0.00998472,0.0299542,0.00998472,0.0299542,0.00998472,0.0299542,0.00998472
4,1751.78,1.67387,2.32613,1.79992,0.52023,0.32637,0.32325,0.18646,1.56503,2.03654,1.806,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,2165.22,1.62787,2.2114,1.76563,0.52943,0.35003,0.34704,0.207,1.56501,2.00475,1.82118,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,2578.6,1.58828,2.10127,1.73199,0.64468,0.38917,0.41536,0.25095,1.44441,1.66251,1.67792,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,2992.16,1.56292,2.00348,1.70841,0.65737,0.4249,0.46757,0.30638,1.30817,1.4725,1.55752,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,3405.31,1.51482,1.92171,1.66326,0.70715,0.40809,0.47126,0.30484,1.30689,1.50757,1.56412,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,3818.7,1.50495,1.88381,1.66806,0.66095,0.46904,0.5037,0.33355,1.27877,1.34638,1.5333,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,4232.92,1.49766,1.82666,1.64053,0.66567,0.45816,0.49298,0.3399,1.2029,1.34986,1.47075,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,4647.53,1.48007,1.79058,1.63935,0.66935,0.48027,0.50471,0.34284,1.21841,1.35129,1.48741,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,5061.67,1.44837,1.72734,1.6251,0.7178,0.47698,0.52108,0.36139,1.18887,1.30139,1.46684,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,5475.02,1.42441,1.69573,1.59909,0.707,0.48908,0.52917,0.36899,1.15042,1.2384,1.42734,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,5888.9,1.43527,1.66491,1.60116,0.67272,0.49152,0.52425,0.36429,1.18332,1.272,1.43438,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,6302.27,1.42252,1.64723,1.58738,0.73629,0.48897,0.54112,0.39065,1.09894,1.18649,1.38407,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,6716.01,1.39909,1.59186,1.5762,0.71621,0.5114,0.552,0.38636,1.13517,1.16133,1.39685,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,7128.57,1.39087,1.59157,1.57255,0.7256,0.51781,0.56405,0.40136,1.08364,1.10888,1.39075,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,7540.9,1.36706,1.53924,1.55981,0.72942,0.52154,0.56318,0.40306,1.07466,1.1404,1.36619,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,7953.47,1.3597,1.52949,1.56066,0.68413,0.51802,0.55971,0.39751,1.11181,1.1147,1.3913,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,8365.44,1.35155,1.49568,1.54476,0.71972,0.53225,0.56825,0.4079,1.08303,1.08967,1.3657,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,8777.7,1.34539,1.48252,1.54375,0.72346,0.52646,0.56536,0.41993,1.03981,1.08892,1.34699,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,9189.77,1.34046,1.47173,1.53909,0.72025,0.5409,0.5839,0.41742,1.06672,1.09251,1.34997,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,9601.62,1.33746,1.45695,1.52752,0.74429,0.53339,0.5851,0.42854,1.02841,1.02312,1.32375,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
